,balanced,learning rate,adaptive learning,epochs,batch size,regularization,regularization parameter,accuracy
373,False,0.01,decay,10.0,40.0,l1,0.001,0.7733333333333333
374,False,0.01,decay,40.0,40.0,l1,0.001,0.7876666666666666
375,False,0.01,decay,60.0,40.0,l1,0.001,0.7873333333333333
376,False,0.01,decay,1.0,60.0,l1,0.001,0.768
377,False,0.01,decay,10.0,60.0,l1,0.001,0.7693333333333333
378,False,0.01,decay,40.0,60.0,l1,0.001,0.782
379,False,0.01,decay,60.0,60.0,l1,0.001,0.7866666666666666
380,False,0.01,decay,1.0,80.0,l1,0.001,0.768
381,False,0.01,decay,10.0,80.0,l1,0.001,0.7683333333333333
382,False,0.01,decay,40.0,80.0,l1,0.001,0.7783333333333333
383,False,0.01,decay,60.0,80.0,l1,0.001,0.7843333333333333
384,False,1.0,const,1.0,10.0,l2,1e-09,0.7846666666666666
385,False,1.0,const,10.0,10.0,l2,1e-09,0.7686666666666667
386,False,1.0,const,40.0,10.0,l2,1e-09,0.7706666666666667
387,False,1.0,const,60.0,10.0,l2,1e-09,0.799
388,False,1.0,const,1.0,40.0,l2,1e-09,0.784
389,False,1.0,const,10.0,40.0,l2,1e-09,0.7866666666666666
390,False,1.0,const,40.0,40.0,l2,1e-09,0.7823333333333333
391,False,1.0,const,60.0,40.0,l2,1e-09,0.774
392,False,1.0,const,1.0,60.0,l2,1e-09,0.7803333333333333
393,False,1.0,const,10.0,60.0,l2,1e-09,0.7726666666666666
394,False,1.0,const,40.0,60.0,l2,1e-09,0.7823333333333333
395,False,1.0,const,60.0,60.0,l2,1e-09,0.7973333333333333
396,False,1.0,const,1.0,80.0,l2,1e-09,0.8006666666666666
397,False,1.0,const,10.0,80.0,l2,1e-09,0.7746666666666666
398,False,1.0,const,40.0,80.0,l2,1e-09,0.7983333333333333
399,False,1.0,const,60.0,80.0,l2,1e-09,0.7813333333333333
400,False,1.0,decay,1.0,10.0,l2,1e-09,0.7846666666666666
401,False,1.0,decay,10.0,10.0,l2,1e-09,0.774
402,False,1.0,decay,40.0,10.0,l2,1e-09,0.78
403,False,1.0,decay,60.0,10.0,l2,1e-09,0.7893333333333333
404,False,1.0,decay,1.0,40.0,l2,1e-09,0.784
405,False,1.0,decay,10.0,40.0,l2,1e-09,0.7756666666666666
406,False,1.0,decay,40.0,40.0,l2,1e-09,0.784
