,number of layers,nodes per layer,epoch,batch size,learning rate,momentum parameter,lambda,stopping tol,cost,accuracy,data set
122,3,23 : 40_sigmoid : 2_sigmoid,61,50,0.10600706713780925,0.9,1e-08,0.0001,0.46676105014386016,0.8012592592592592,train
123,3,23 : 40_sigmoid : 2_sigmoid,61,50,0.10600706713780925,0.9,1e-08,0.0001,0.46193013212603046,0.8003333333333333,test
124,3,23 : 40_sigmoid : 2_sigmoid,62,50,0.10489510489510497,0.9,1e-08,0.0001,0.46680402774133534,0.8015925925925926,train
125,3,23 : 40_sigmoid : 2_sigmoid,62,50,0.10489510489510497,0.9,1e-08,0.0001,0.46201394054242095,0.8003333333333333,test
126,3,23 : 40_sigmoid : 2_sigmoid,63,50,0.1038062283737025,0.9,1e-08,0.0001,0.46624725011342216,0.801,train
127,3,23 : 40_sigmoid : 2_sigmoid,63,50,0.1038062283737025,0.9,1e-08,0.0001,0.4611445669437971,0.797,test
128,3,23 : 40_sigmoid : 2_sigmoid,64,50,0.10273972602739732,0.9,1e-08,0.0001,0.4661281498958151,0.8006296296296296,train
129,3,23 : 40_sigmoid : 2_sigmoid,64,50,0.10273972602739732,0.9,1e-08,0.0001,0.4609510107705952,0.797,test
130,3,23 : 40_sigmoid : 2_sigmoid,65,50,0.10169491525423736,0.9,1e-08,0.0001,0.4664984325816838,0.7979259259259259,train
131,3,23 : 40_sigmoid : 2_sigmoid,65,50,0.10169491525423736,0.9,1e-08,0.0001,0.4609330495890194,0.797,test
132,3,23 : 40_sigmoid : 2_sigmoid,66,50,0.10067114093959739,0.9,1e-08,0.0001,0.4661951525672331,0.799074074074074,train
133,3,23 : 40_sigmoid : 2_sigmoid,66,50,0.10067114093959739,0.9,1e-08,0.0001,0.4607590338992498,0.7983333333333333,test
134,3,23 : 40_sigmoid : 2_sigmoid,67,50,0.09966777408637881,0.9,1e-08,0.0001,0.46616109188721033,0.7991851851851852,train
135,3,23 : 40_sigmoid : 2_sigmoid,67,50,0.09966777408637881,0.9,1e-08,0.0001,0.4607293694821977,0.7986666666666666,test
136,3,23 : 40_sigmoid : 2_sigmoid,68,50,0.09868421052631587,0.9,1e-08,0.0001,0.4662995594367115,0.8012962962962963,train
137,3,23 : 40_sigmoid : 2_sigmoid,68,50,0.09868421052631587,0.9,1e-08,0.0001,0.4614237792294799,0.8003333333333333,test
138,3,23 : 40_sigmoid : 2_sigmoid,69,50,0.09771986970684048,0.9,1e-08,0.0001,0.46626363972935286,0.7984074074074075,train
139,3,23 : 40_sigmoid : 2_sigmoid,69,50,0.09771986970684048,0.9,1e-08,0.0001,0.46073780862089664,0.7976666666666666,test
140,3,23 : 40_sigmoid : 2_sigmoid,70,50,0.09677419354838718,0.9,1e-08,0.0001,0.4662822618114843,0.8016296296296296,train
141,3,23 : 40_sigmoid : 2_sigmoid,70,50,0.09677419354838718,0.9,1e-08,0.0001,0.4614237958534197,0.8,test
142,3,23 : 40_sigmoid : 2_sigmoid,71,50,0.09584664536741222,0.9,1e-08,0.0001,0.4665416576863424,0.7977037037037037,train
143,3,23 : 40_sigmoid : 2_sigmoid,71,50,0.09584664536741222,0.9,1e-08,0.0001,0.46084976883449114,0.7966666666666666,test
144,3,23 : 40_sigmoid : 2_sigmoid,72,50,0.09493670886075958,0.9,1e-08,0.0001,0.4664446599064301,0.7977407407407408,train
145,3,23 : 40_sigmoid : 2_sigmoid,72,50,0.09493670886075958,0.9,1e-08,0.0001,0.460753342043359,0.7966666666666666,test
146,3,23 : 40_sigmoid : 2_sigmoid,73,50,0.09404388714733551,0.9,1e-08,0.0001,0.4657368976227626,0.801074074074074,train
147,3,23 : 40_sigmoid : 2_sigmoid,73,50,0.09404388714733551,0.9,1e-08,0.0001,0.46053483526427563,0.7973333333333333,test
148,3,23 : 40_sigmoid : 2_sigmoid,74,50,0.09316770186335413,0.9,1e-08,0.0001,0.4657458438453047,0.801074074074074,train
149,3,23 : 40_sigmoid : 2_sigmoid,74,50,0.09316770186335413,0.9,1e-08,0.0001,0.4606041275158332,0.7976666666666666,test
150,3,23 : 40_sigmoid : 2_sigmoid,75,50,0.0923076923076924,0.9,1e-08,0.0001,0.4659294404132449,0.7992962962962963,train
151,3,23 : 40_sigmoid : 2_sigmoid,75,50,0.0923076923076924,0.9,1e-08,0.0001,0.4604040742069959,0.798,test
152,3,23 : 40_sigmoid : 2_sigmoid,76,50,0.09146341463414644,0.9,1e-08,0.0001,0.4660931494702532,0.7985185185185185,train
153,3,23 : 40_sigmoid : 2_sigmoid,76,50,0.09146341463414644,0.9,1e-08,0.0001,0.4604620940959968,0.797,test
154,3,23 : 40_sigmoid : 2_sigmoid,77,50,0.09063444108761338,0.9,1e-08,0.0001,0.4656933721270921,0.8001851851851852,train
155,3,23 : 40_sigmoid : 2_sigmoid,77,50,0.09063444108761338,0.9,1e-08,0.0001,0.46026408160814813,0.7976666666666666,test
156,3,23 : 40_sigmoid : 2_sigmoid,78,50,0.08982035928143722,0.9,1e-08,0.0001,0.4655438007204924,0.801037037037037,train
157,3,23 : 40_sigmoid : 2_sigmoid,78,50,0.08982035928143722,0.9,1e-08,0.0001,0.4602948972725425,0.7976666666666666,test
158,3,23 : 40_sigmoid : 2_sigmoid,79,50,0.08902077151335322,0.9,1e-08,0.0001,0.46574571716467983,0.8015185185185185,train
159,3,23 : 40_sigmoid : 2_sigmoid,79,50,0.08902077151335322,0.9,1e-08,0.0001,0.4607716968996763,0.801,test
160,3,23 : 40_sigmoid : 2_sigmoid,80,50,0.08823529411764715,0.9,1e-08,0.0001,0.4655079107853034,0.800962962962963,train
161,3,23 : 40_sigmoid : 2_sigmoid,80,50,0.08823529411764715,0.9,1e-08,0.0001,0.4603803153143698,0.7993333333333333,test
162,3,23 : 40_sigmoid : 2_sigmoid,81,50,0.08746355685131205,0.9,1e-08,0.0001,0.46542925280722003,0.8012222222222222,train
163,3,23 : 40_sigmoid : 2_sigmoid,81,50,0.08746355685131205,0.9,1e-08,0.0001,0.46021352887672357,0.7973333333333333,test
164,3,23 : 40_sigmoid : 2_sigmoid,82,50,0.08670520231213882,0.9,1e-08,0.0001,0.46599221293923576,0.7985925925925926,train
165,3,23 : 40_sigmoid : 2_sigmoid,82,50,0.08670520231213882,0.9,1e-08,0.0001,0.4602889448491374,0.7963333333333333,test
166,3,23 : 40_sigmoid : 2_sigmoid,83,50,0.08595988538681959,0.9,1e-08,0.0001,0.46535373281506015,0.801037037037037,train
167,3,23 : 40_sigmoid : 2_sigmoid,83,50,0.08595988538681959,0.9,1e-08,0.0001,0.46001173339253904,0.7976666666666666,test
168,3,23 : 40_sigmoid : 2_sigmoid,84,50,0.08522727272727283,0.9,1e-08,0.0001,0.46533470644484676,0.8007407407407408,train
169,3,23 : 40_sigmoid : 2_sigmoid,84,50,0.08522727272727283,0.9,1e-08,0.0001,0.4599466070996915,0.7973333333333333,test
170,3,23 : 40_sigmoid : 2_sigmoid,85,50,0.08450704225352122,0.9,1e-08,0.0001,0.46528104144445404,0.801074074074074,train
171,3,23 : 40_sigmoid : 2_sigmoid,85,50,0.08450704225352122,0.9,1e-08,0.0001,0.459914046276436,0.7976666666666666,test
172,3,23 : 40_sigmoid : 2_sigmoid,86,50,0.08379888268156435,0.9,1e-08,0.0001,0.46549320458649,0.7998148148148149,train
173,3,23 : 40_sigmoid : 2_sigmoid,86,50,0.08379888268156435,0.9,1e-08,0.0001,0.4599070328158359,0.7976666666666666,test
174,3,23 : 40_sigmoid : 2_sigmoid,87,50,0.08310249307479235,0.9,1e-08,0.0001,0.46532160168261677,0.8016666666666666,train
175,3,23 : 40_sigmoid : 2_sigmoid,87,50,0.08310249307479235,0.9,1e-08,0.0001,0.460216849877493,0.8003333333333333,test
176,3,23 : 40_sigmoid : 2_sigmoid,88,50,0.08241758241758253,0.9,1e-08,0.0001,0.46516528482561437,0.8011481481481482,train
177,3,23 : 40_sigmoid : 2_sigmoid,88,50,0.08241758241758253,0.9,1e-08,0.0001,0.45980498548125,0.7976666666666666,test
178,3,23 : 40_sigmoid : 2_sigmoid,89,50,0.08174386920980937,0.9,1e-08,0.0001,0.46531071548089714,0.7999259259259259,train
179,3,23 : 40_sigmoid : 2_sigmoid,89,50,0.08174386920980937,0.9,1e-08,0.0001,0.4597638582062667,0.7976666666666666,test
180,3,23 : 40_sigmoid : 2_sigmoid,90,50,0.08108108108108118,0.9,1e-08,0.0001,0.465118863393413,0.8008148148148149,train
181,3,23 : 40_sigmoid : 2_sigmoid,90,50,0.08108108108108118,0.9,1e-08,0.0001,0.4597360107470571,0.7976666666666666,test
182,3,23 : 40_sigmoid : 2_sigmoid,91,50,0.0804289544235926,0.9,1e-08,0.0001,0.46510035010890144,0.8011111111111111,train
183,3,23 : 40_sigmoid : 2_sigmoid,91,50,0.0804289544235926,0.9,1e-08,0.0001,0.45987575366157585,0.7986666666666666,test
184,3,23 : 40_sigmoid : 2_sigmoid,92,50,0.07978723404255329,0.9,1e-08,0.0001,0.4651089045487852,0.8002962962962963,train
185,3,23 : 40_sigmoid : 2_sigmoid,92,50,0.07978723404255329,0.9,1e-08,0.0001,0.4596712075036021,0.7976666666666666,test
186,3,23 : 40_sigmoid : 2_sigmoid,93,50,0.0791556728232191,0.9,1e-08,0.0001,0.4658280881695581,0.7981111111111111,train
187,3,23 : 40_sigmoid : 2_sigmoid,93,50,0.0791556728232191,0.9,1e-08,0.0001,0.460020303694951,0.7966666666666666,test
188,3,23 : 40_sigmoid : 2_sigmoid,94,50,0.07853403141361268,0.9,1e-08,0.0001,0.46510932487908746,0.8003703703703704,train
189,3,23 : 40_sigmoid : 2_sigmoid,94,50,0.07853403141361268,0.9,1e-08,0.0001,0.45961759162980687,0.7976666666666666,test
190,3,23 : 40_sigmoid : 2_sigmoid,95,50,0.07792207792207803,0.9,1e-08,0.0001,0.46506370887449777,0.8016296296296296,train
191,3,23 : 40_sigmoid : 2_sigmoid,95,50,0.07792207792207803,0.9,1e-08,0.0001,0.45986596628722537,0.7996666666666666,test
