, pol order,accuracy,batch size,cost,data set,epoch,initial learning rate,lambda,learning rate,momentum parameter,nodes per layer,number of layers,pol order,stopping tol
135,,Nan,50,0.0037581029711687124,test,67,0.3,0.0001,0.24979184013322228,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
136,,Nan,50,0.004625853504247592,train,68,0.3,0.0001,0.2491694352159468,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
137,,Nan,50,0.004568562363901114,test,68,0.3,0.0001,0.2491694352159468,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
138,,Nan,50,0.004148951207890174,train,69,0.3,0.0001,0.24855012427506212,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
139,,Nan,50,0.00397308950874156,test,69,0.3,0.0001,0.24855012427506212,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
140,,Nan,50,0.0038994822722847873,train,70,0.3,0.0001,0.2479338842975206,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
141,,Nan,50,0.0037470887803957072,test,70,0.3,0.0001,0.2479338842975206,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
142,,Nan,50,0.004489957734744035,train,71,0.3,0.0001,0.24732069249793898,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
143,,Nan,50,0.00429836953920693,test,71,0.3,0.0001,0.24732069249793898,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
144,,Nan,50,0.004326989783420299,train,72,0.3,0.0001,0.24671052631578944,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
145,,Nan,50,0.0041551900467915815,test,72,0.3,0.0001,0.24671052631578944,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
146,,Nan,50,0.004163309372018322,train,73,0.3,0.0001,0.24610336341263328,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
147,,Nan,50,0.00401725205442287,test,73,0.3,0.0001,0.24610336341263328,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
148,,Nan,50,0.003909414737733869,train,74,0.3,0.0001,0.24549918166939438,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
149,,Nan,50,0.003804869847124099,test,74,0.3,0.0001,0.24549918166939438,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
150,,Nan,50,0.003991487492552014,train,75,0.3,0.0001,0.24489795918367344,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
151,,Nan,50,0.0038651091590060924,test,75,0.3,0.0001,0.24489795918367344,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
152,,Nan,50,0.004578449473283945,train,76,0.3,0.0001,0.24429967426710092,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
153,,Nan,50,0.004427657811114062,test,76,0.3,0.0001,0.24429967426710092,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
154,,Nan,50,0.004475524848676333,train,77,0.3,0.0001,0.24370430544272947,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
155,,Nan,50,0.004339415836738828,test,77,0.3,0.0001,0.24370430544272947,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
156,,Nan,50,0.004105835162480729,train,78,0.3,0.0001,0.24311183144246348,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
157,,Nan,50,0.004043903650429517,test,78,0.3,0.0001,0.24311183144246348,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
158,,Nan,50,0.003926630353898435,train,79,0.3,0.0001,0.24252223120452707,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
159,,Nan,50,0.0038233628697022866,test,79,0.3,0.0001,0.24252223120452707,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
160,,Nan,50,0.004285183270420886,train,80,0.3,0.0001,0.2419354838709677,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
161,,Nan,50,0.004145792198879204,test,80,0.3,0.0001,0.2419354838709677,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
162,,Nan,50,0.003974715325421479,train,81,0.3,0.0001,0.24135156878519706,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
163,,Nan,50,0.00388331595651019,test,81,0.3,0.0001,0.24135156878519706,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
164,,Nan,50,0.004100965458661618,train,82,0.3,0.0001,0.24077046548956657,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
165,,Nan,50,0.0040284536756377476,test,82,0.3,0.0001,0.24077046548956657,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
